data;produto;operacao_comercial;importado/exportado;dispendio/receita
01/11/2017;ETANOL ANIDRO;IMPORTAÇÃO;50285766;22802629
01/11/2017;ETANOL ANIDRO;EXPORTAÇÃO;94526378;54125808
01/11/2017;ETANOL HIDRATADO;IMPORTAÇÃO;1;3057
01/12/2017;ETANOL HIDRATADO;EXPORTAÇÃO;1283244;1025561
01/12/2017;ETANOL ANIDRO;EXPORTAÇÃO;17636033;39388040
01/12/2017;ETANOL ANIDRO;IMPORTAÇÃO;84656279;37980032
01/12/2017;ETANOL HIDRATADO;IMPORTAÇÃO;1;2991
01/01/2018;ETANOL HIDRATADO;IMPORTAÇÃO;25284;45958
01/01/2018;ETANOL HIDRATADO;EXPORTAÇÃO;49989776;25075488
01/01/2018;ETANOL ANIDRO;EXPORTAÇÃO;71676685;45002806
01/01/2018;ETANOL ANIDRO;IMPORTAÇÃO;164574255;73060194
01/02/2018;ETANOL HIDRATADO;EXPORTAÇÃO;1132127;1032205
01/02/2018;ETANOL ANIDRO;EXPORTAÇÃO;60923591;43483417
01/02/2018;ETANOL ANIDRO;IMPORTAÇÃO;163350274;70278312
01/02/2018;ETANOL HIDRATADO;IMPORTAÇÃO;1;8600
01/03/2018;ETANOL HIDRATADO;IMPORTAÇÃO;11176018;4983006
01/03/2018;ETANOL ANIDRO;EXPORTAÇÃO;47438212;32434659
01/03/2018;ETANOL HIDRATADO;EXPORTAÇÃO;18903;9401975
01/03/2018;ETANOL ANIDRO;IMPORTAÇÃO;314395;130208029
01/04/2018;ETANOL HIDRATADO;IMPORTAÇÃO;4672855;1822546
01/04/2018;ETANOL HIDRATADO;EXPORTAÇÃO;12144352;7064709
01/04/2018;ETANOL ANIDRO;EXPORTAÇÃO;62715275;40334418
01/04/2018;ETANOL ANIDRO;IMPORTAÇÃO;387681583;163659605
01/05/2018;ETANOL ANIDRO;IMPORTAÇÃO;103293634;43148140
01/05/2018;ETANOL HIDRATADO;IMPORTAÇÃO;1;5019
01/05/2018;ETANOL HIDRATADO;EXPORTAÇÃO;14208;7211199
01/05/2018;ETANOL ANIDRO;EXPORTAÇÃO;77365;44110276
01/06/2018;ETANOL HIDRATADO;IMPORTAÇÃO;9247978;3767705
01/06/2018;ETANOL HIDRATADO;EXPORTAÇÃO;49697028;26813169
01/06/2018;ETANOL ANIDRO;IMPORTAÇÃO;59524449;24966625
01/06/2018;ETANOL ANIDRO;EXPORTAÇÃO;82753205;47805600
01/07/2018;ETANOL HIDRATADO;IMPORTAÇÃO;8906868;3628718
01/07/2018;ETANOL ANIDRO;EXPORTAÇÃO;89505054;45650193
01/07/2018;ETANOL ANIDRO;IMPORTAÇÃO;133541913;55115312
01/07/2018;ETANOL HIDRATADO;EXPORTAÇÃO;88914;44242600
01/08/2018;ETANOL HIDRATADO;IMPORTAÇÃO;2483;19995
01/08/2018;ETANOL ANIDRO;IMPORTAÇÃO;47607976;19892661
01/08/2018;ETANOL HIDRATADO;EXPORTAÇÃO;80912706;39303454
01/08/2018;ETANOL ANIDRO;EXPORTAÇÃO;161749284;77766201
01/09/2018;ETANOL ANIDRO;IMPORTAÇÃO;1608192;744959
01/09/2018;ETANOL HIDRATADO;IMPORTAÇÃO;4054781;1718938
01/09/2018;ETANOL ANIDRO;EXPORTAÇÃO;103778667;48483293
01/09/2018;ETANOL HIDRATADO;EXPORTAÇÃO;73264;35889986
01/10/2018;ETANOL HIDRATADO;IMPORTAÇÃO;49644;151864
01/10/2018;ETANOL ANIDRO;IMPORTAÇÃO;47671291;17998322
01/10/2018;ETANOL HIDRATADO;EXPORTAÇÃO;127495427;63267895
01/10/2018;ETANOL ANIDRO;EXPORTAÇÃO;151881998;76300141
01/11/2018;ETANOL HIDRATADO;IMPORTAÇÃO;26181;83354
01/11/2018;ETANOL HIDRATADO;EXPORTAÇÃO;45899871;23476997
01/11/2018;ETANOL ANIDRO;EXPORTAÇÃO;101970008;53375333
01/11/2018;ETANOL ANIDRO;IMPORTAÇÃO;139385;55327065
01/12/2018;ETANOL HIDRATADO;IMPORTAÇÃO;1374;12169
01/12/2018;ETANOL ANIDRO;EXPORTAÇÃO;54796472;28132294
01/12/2018;ETANOL ANIDRO;IMPORTAÇÃO;174533533;72633484
01/12/2018;ETANOL HIDRATADO;EXPORTAÇÃO;52862;25320924
01/01/2019;ETANOL HIDRATADO;EXPORTAÇÃO;49601684;25470400
01/01/2019;ETANOL ANIDRO;EXPORTAÇÃO;55364358;29075903
01/01/2019;ETANOL ANIDRO;IMPORTAÇÃO;155630902;65565051
01/01/2019;ETANOL HIDRATADO;IMPORTAÇÃO;25;45736
01/02/2019;ETANOL HIDRATADO;IMPORTAÇÃO;1662;22580
01/02/2019;ETANOL HIDRATADO;EXPORTAÇÃO;23704952;10972746
01/02/2019;ETANOL ANIDRO;EXPORTAÇÃO;89186139;53012913
01/02/2019;ETANOL ANIDRO;IMPORTAÇÃO;128890;50798050
01/03/2019;ETANOL HIDRATADO;IMPORTAÇÃO;25748;45155
01/03/2019;ETANOL ANIDRO;EXPORTAÇÃO;101929827;55755192
01/03/2019;ETANOL ANIDRO;IMPORTAÇÃO;111639359;44055030
01/03/2019;ETANOL HIDRATADO;EXPORTAÇÃO;27583;13285150
01/04/2019;ETANOL HIDRATADO;IMPORTAÇÃO;1509;5149
01/04/2019;ETANOL HIDRATADO;EXPORTAÇÃO;3970197;2841723
01/04/2019;ETANOL ANIDRO;IMPORTAÇÃO;230719585;92664108
01/04/2019;ETANOL ANIDRO;EXPORTAÇÃO;181;196685
01/05/2019;ETANOL HIDRATADO;IMPORTAÇÃO;22131;44592
01/05/2019;ETANOL HIDRATADO;EXPORTAÇÃO;15894499;8225299
01/05/2019;ETANOL ANIDRO;EXPORTAÇÃO;117730695;60026677
01/05/2019;ETANOL ANIDRO;IMPORTAÇÃO;182461508;74231511
01/06/2019;ETANOL HIDRATADO;EXPORTAÇÃO;42451288;21212166
